id,question,answer,final_coding,category
155,vertebrate,I believe that a lot of scientists make up numbers and the numbers aren't even accurate,Not convinced,Not convinced
155,brain,This one might be accurate but I just wanted to disagree because I feel like it might not be accurate,No justification,No justification
155,orbit,I believe that a lot of those things about the Earth orbiting and stuff like that are misunderstood and not true,Not convinced,Not convinced
155,material,I believe that the Earth is much younger than we're told and that allow those numbers about the Earth being trillions and trillions of years old is just crazy talk,Not convinced,Not convinced
155,magnetic,I believe that the Earth does not have a magnetic field that's just a theory that is wrong in my opinion,Not convinced,Not convinced
157,orbit,"Sure, it's a prediction and one that doesn't sound very plausible to me.",Not convinced,Not convinced
157,material,I don't believe the earth is that old.,Not convinced,Not convinced
157,magnetic,"Once again, I don't believe the earth is that old.",Not convinced,Not convinced
159,planet,Couldn't havesais it better myself,No justification,No justification
159,material,No,No justification,No justification
163,cloning,Because one of the links said 8 out of 10 success rate on cloning mice.,Not convinced,Not convinced
163,magnetic,Because i didn't see anything showing that the researcher pulled samples from the northern most region to do the dating. There had been 2 other heating events that could have corrupted the data if they took it from the southern area.,Not convinced,Not convinced
164,orbit,I don't fully trust the sources and the Sun's never disappeared so how would they know.,Not convinced,Not convinced
167,material,They are just guessing. There is no way to verify their estimates.,Not convinced,Not convinced
167,magnetic,Earth age estimates are just guesses there is no way to verify them.,Not convinced,Not convinced
168,planet,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,brain,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,boson,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,orbit,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,material,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,speed,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,cloning,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
168,magnetic,"Scientific ""Consensus"" has low credibility in my perception.",Not convinced,Not convinced
169,material,I don't think has to be that old.,No justification,No justification
171,vertebrate,"It did not sound right to me, and that science can be wrong too.",Not convinced,Not convinced
171,cloning,I will agree with science on this one because they  create weird things.,Mistake,Mistake
172,speed,"I thought the article showed a different answer, but I looked back and read it again and confirmed the original statement is in fact true",Mistake,Mistake
172,cloning,"I thought the article showed a different answer, but I looked back and read it again and confirmed the original statement is in fact true",Mistake,Mistake
173,vertebrate,I think an older one has been found since 2016.,Not convinced,Not convinced
173,brain,I think it is more likely there is a differing amount which may be very small but I really have no idea. I just know we humans are highly fallible and fallen and are wrong about things all the time.,Not convinced,Not convinced
173,material,"The Earth is no where near this old, it is around 6000-7000 years old. I cannot wait until we come to realize how utterly foolish we are in believing in the millions-billions or years old myth.",Not convinced,Not convinced
173,magnetic,Same reason as above.,Not convinced,Not convinced
174,boson,The website was not convincing,Not convinced,Not convinced
174,orbit,I thought it would be longer,No justification,No justification
175,material,My final authority is the Bible.  It only goes back 6500 years to the creation.,Religious Beliefs,Religious Beliefs
175,cloning,I just dont believe cloning techniques are that good my researched showed its around 1-2%.,Not convinced,Not convinced
175,magnetic,Earth was created around 6500 years ago.,Religious Beliefs,Religious Beliefs
177,material,I am a creationist and believe the earth is much younger than that and am not convinced the testing methods are correct,Religious Beliefs,Religious Beliefs
177,cloning,number just seemed too high,Not convinced,Not convinced
181,brain,"There is a similar amount, but not the same amount.",Not convinced,Not convinced
181,orbit,It's impossible to state as fact.,Not convinced,Not convinced
181,material,It's impossible to state as fact.,Not convinced,Not convinced
181,magnetic,It's impossible to state as fact.,Not convinced,Not convinced
183,planet,i read the distance in kilometers instead of miles.,Mistake,Mistake
183,magnetic,i read that during this time the microteslas was 30-50,No justification,No justification
184,vertebrate,Knowing how long vertebrates live today it seems unlikely that they lived significantly longer in the past,Not convinced,Not convinced
184,material,There is so much variation when it comes to measuring the early days of earth that I would assume given enough time this estimate will change dramatically in the future,Not convinced,Not convinced
188,vertebrate,No I am not able to explain my answer.,No justification,No justification
188,orbit,No.,No justification,No justification
192,vertebrate,Based on what I read it’s not true.,Not convinced,Not convinced
192,material,Based on what I read it’s not true.,Not convinced,Not convinced
192,speed,I’m not sure if it’s true because I couldn’t find the proof for the claim in the material.,Not convinced,Not convinced
192,cloning,I don’t know if it is true because I couldn’t find the proof in the material.,Not convinced,Not convinced
194,planet,It how I was taught.,Not convinced,Not convinced
194,boson,I don't know,No justification,No justification
195,planet,im a flat earther and i believe all the stars are right in our own atmosphere,Not convinced,Not convinced
195,orbit,i dont believe that the earth orbits around the sun at all to be honest i think the sun and moon travel over the earth,Not convinced,Not convinced
195,material,i dont believe that the earth is that old,Not convinced,Not convinced
195,magnetic,dont believe the earth is that old,Not convinced,Not convinced
197,orbit,I could not find the reference to corroborate the information.,Not convinced,Not convinced
197,material,The oldest material I found was just over 4.4 Ga,Not convinced,Not convinced
197,speed,I could not find the reference to corroborate the information.,Not convinced,Not convinced
